country,region,category,product_name,fiscal_year,quarter,avg_trends_score,total_search_volume,avg_yoy_growth_pct,total_social_mentions,avg_amazon_bsr,total_demand_units,avg_seasonality_index,demand_classification
Canada,North America,Garden,Terracotta Planter Set of 3,2024,Q1,57.4,981858,22.06,53426,243.0,30363,1.018,📈 Growing
UAE,Middle East,Decor,Hand Painted Wooden Bowl,2024,Q3,65.3,1748196,22.06,63783,199.0,37108,1.01,📈 Growing
Ireland,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q3,64.0,570700,22.06,51794,240.0,30772,1.01,📈 Growing
Australia,Asia Pacific,Decor,Warli Art Wall Plate Set of 3,2024,Q2,55.5,642283,22.06,45950,266.0,27482,0.917,📈 Growing
Sweden,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q2,55.3,549160,22.06,39143,294.0,24852,0.917,📈 Growing
Kuwait,Middle East,Decor,Warli Art Wall Plate Set of 3,2024,Q1,57.8,637025,22.06,48255,242.0,30532,1.018,📈 Growing
Japan,Asia Pacific,Textiles,Hand Block Print Bedsheet Set,2024,Q1,57.6,634901,22.06,38570,324.0,22819,1.018,📈 Growing
South Africa,Africa,Decor,Hand Painted Wooden Bowl,2024,Q1,57.2,504964,22.06,39199,300.0,24576,1.018,📈 Growing
Italy,Europe,Kitchen,Copper Water Bottle 1L,2024,Q4,83.4,1117655,22.06,64392,196.0,37956,1.233,📈 Growing
France,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q1,57.4,886546,22.06,42754,286.0,25789,1.018,📈 Growing
UAE,Middle East,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q3,63.6,1702539,22.05,58108,204.0,36138,1.01,📈 Growing
New Zealand,Asia Pacific,Decor,Macrame Plant Hanger Set of 3,2024,Q4,82.2,618656,22.05,63759,188.0,39548,1.233,📈 Growing
France,Europe,Decor,Hand Painted Wooden Tray,2024,Q4,83.2,1299336,22.05,62958,196.0,37820,1.233,📈 Growing
Germany,Europe,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q4,83.0,1575799,22.05,67153,186.0,39998,1.233,📈 Growing
Spain,Europe,Kitchen,Copper Water Bottle 1L,2024,Q1,57.3,695018,22.05,38654,300.0,24599,1.018,📈 Growing
Kuwait,Middle East,Kitchen,Teak Wood Salad Bowl Large,2024,Q4,83.0,926062,22.05,73753,167.0,44407,1.233,📈 Growing
Netherlands,Europe,Kitchen,Bamboo Serving Tray Large,2024,Q3,63.7,746303,22.05,46028,267.0,27673,1.01,📈 Growing
New Zealand,Asia Pacific,Rugs,Jute Braided Area Rug 4x6ft,2024,Q2,55.2,410862,22.04,44520,279.0,26255,0.917,📈 Growing
Netherlands,Europe,Textiles,Hand Block Print Bedsheet Set,2024,Q4,82.1,961275,22.04,58415,209.0,35660,1.233,📈 Growing
UK,Europe,Rugs,Jute Braided Area Rug 2x3ft,2024,Q4,83.7,1959672,22.04,78342,162.0,45863,1.233,📈 Growing
Kuwait,Middle East,Bath,Bamboo Toothbrush Holder Set,2024,Q1,57.6,635004,22.04,49900,243.0,30437,1.018,📈 Growing
Singapore,Asia Pacific,Decor,Brass Tealight Holder Set of 4,2024,Q4,82.9,1112435,22.04,68147,172.0,43340,1.233,📈 Growing
USA,North America,Storage,Handwoven Jute Storage Basket Small,2024,Q3,64.5,3307852,22.04,63389,194.0,37925,1.01,📈 Growing
Kuwait,Middle East,Kitchen,Copper Water Bottle 750ml,2024,Q4,81.7,911463,22.04,71145,170.0,43707,1.233,📈 Growing
Kuwait,Middle East,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q1,58.0,639360,22.04,51004,241.0,30647,1.018,📈 Growing
Spain,Europe,Storage,Handwoven Jute Storage Basket Small,2024,Q4,82.5,1011446,22.04,56732,207.0,35819,1.233,📈 Growing
South Africa,Africa,Decor,Hand Painted Wooden Bowl,2024,Q4,83.1,741372,22.04,60707,206.0,36096,1.233,📈 Growing
New Zealand,Asia Pacific,Decor,Recycled Glass Vase Set of 2,2024,Q4,82.9,624008,22.03,64306,186.0,39893,1.233,📈 Growing
Sweden,Europe,Decor,Warli Art Wall Plate Set of 3,2024,Q4,82.4,826691,22.03,58123,198.0,37429,1.233,📈 Growing
Netherlands,Europe,Decor,Handmade Soy Candle Set of 3,2024,Q3,63.8,746825,22.03,45583,267.0,27696,1.01,📈 Growing
Spain,Europe,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q1,57.9,702410,22.03,41488,298.0,24856,1.018,📈 Growing
France,Europe,Decor,Warli Art Wall Plate Set of 3,2024,Q1,57.3,884527,22.03,39896,286.0,25735,1.018,📈 Growing
New Zealand,Asia Pacific,Furniture,Cane Rattan Side Table,2024,Q4,82.5,621223,22.03,63975,187.0,39716,1.233,📈 Growing
Portugal,Europe,Kitchen,Ceramic Mug Set of 4,2024,Q4,83.4,651808,22.03,60893,215.0,34594,1.233,📈 Growing
Ireland,Europe,Textiles,Block Print Cotton Table Runner,2024,Q1,57.9,510672,22.03,45639,268.0,27533,1.018,📈 Growing
Japan,Asia Pacific,Textiles,Block Print Cotton Table Runner,2024,Q2,54.9,605973,22.02,35716,336.0,21768,0.917,📈 Growing
Singapore,Asia Pacific,Textiles,Kantha Quilt Throw Blanket,2024,Q4,83.1,1112788,22.02,72594,172.0,43352,1.233,📈 Growing
Germany,Europe,Decor,Jute Rope Mirror Frame Round,2024,Q1,57.3,1074637,22.02,45245,270.0,27266,1.018,📈 Growing
Australia,Asia Pacific,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q3,64.6,756428,22.02,57636,228.0,32375,1.01,📈 Growing
Ireland,Europe,Decor,Recycled Glass Vase Set of 2,2024,Q1,57.7,509236,22.02,44764,269.0,27454,1.018,📈 Growing
Spain,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q1,57.3,695613,22.02,40615,300.0,24613,1.018,📈 Growing
Canada,North America,Storage,Handwoven Jute Storage Basket Small,2024,Q2,55.3,945452,22.02,47852,250.0,29235,0.917,📈 Growing
USA,North America,Lighting,Bamboo Table Lamp,2024,Q3,63.9,3278756,22.02,59618,197.0,37584,1.01,📈 Growing
Netherlands,Europe,Textiles,Hand Block Print Bedsheet Set,2024,Q2,54.8,634295,22.02,36895,311.0,23514,0.917,📈 Growing
Japan,Asia Pacific,Lighting,Rattan Pendant Lamp Shade,2024,Q3,64.2,715499,22.02,42488,287.0,25712,1.01,📈 Growing
South Africa,Africa,Storage,Handwoven Jute Storage Basket Large,2024,Q4,82.7,738450,22.01,58931,207.0,35961,1.233,📈 Growing
Sweden,Europe,Kitchen,Teak Wood Salad Bowl Large,2024,Q4,82.5,828079,22.01,61278,199.0,37494,1.233,📈 Growing
Japan,Asia Pacific,Decor,Hand Painted Wooden Tray,2024,Q3,64.9,723541,22.01,41020,284.0,25998,1.01,📈 Growing
Ireland,Europe,Decor,Macrame Wall Hanging Small,2024,Q2,55.6,490768,22.01,42843,276.0,26463,0.917,📈 Growing
UK,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q2,55.2,1279273,22.01,49496,244.0,29926,0.917,📈 Growing
South Africa,Africa,Rugs,Jute Braided Area Rug 4x6ft,2024,Q3,63.9,569701,22.01,48191,267.0,27731,1.01,📈 Growing
Spain,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q3,64.1,786025,22.01,43926,265.0,27828,1.01,📈 Growing
France,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q3,64.7,1010616,22.01,47954,251.0,29410,1.01,📈 Growing
USA,North America,Lighting,Bamboo Table Lamp,2024,Q2,54.5,2765719,22.01,50428,231.0,31697,0.917,📈 Growing
Portugal,Europe,Textiles,Block Print Cotton Table Runner,2024,Q1,58.0,447698,22.01,39433,311.0,23746,1.018,📈 Growing
Japan,Asia Pacific,Kitchen,Ceramic Mug Set of 4,2024,Q4,81.8,912067,22.01,54221,227.0,32795,1.233,📈 Growing
France,Europe,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q1,57.3,885260,22.0,43273,286.0,25756,1.018,📈 Growing
Kuwait,Middle East,Textiles,Block Print Cotton Napkin Set of 6,2024,Q3,64.4,717570,22.0,53224,215.0,34399,1.01,📈 Growing
France,Europe,Decor,Madhubani Art Canvas Print Large,2024,Q2,54.9,847991,22.0,40823,297.0,24666,0.917,📈 Growing
Italy,Europe,Lighting,Bamboo Table Lamp,2024,Q1,58.0,767428,22.0,44059,284.0,26050,1.018,📈 Growing
Ireland,Europe,Kitchen,Bamboo Serving Tray Large,2024,Q3,64.4,574130,22.0,47769,238.0,30962,1.01,📈 Growing
France,Europe,Decor,Macrame Wall Hanging Small,2024,Q1,57.0,879720,22.0,41851,288.0,25596,1.018,📈 Growing
Saudi Arabia,Middle East,Decor,Macrame Plant Hanger Set of 3,2024,Q1,57.5,1300302,22.0,48892,242.0,30397,1.018,📈 Growing
Ireland,Europe,Textiles,Kantha Quilt Throw Blanket,2024,Q3,63.7,568054,22.0,47752,241.0,30631,1.01,📈 Growing
France,Europe,Decor,Handmade Soy Candle Set of 3,2024,Q3,62.9,981348,22.0,48294,259.0,28555,1.01,📈 Growing
Australia,Asia Pacific,Textiles,Block Print Cotton Napkin Set of 6,2024,Q1,57.5,665538,22.0,45885,260.0,28479,1.018,📈 Growing
Italy,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q4,82.9,1110662,22.0,63969,198.0,37719,1.233,📈 Growing
Spain,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q2,54.6,662193,22.0,38992,311.0,23441,0.917,📈 Growing
UAE,Middle East,Storage,Handwoven Jute Storage Basket Large,2024,Q4,83.6,2239708,22.0,76073,157.0,47551,1.233,📈 Growing
USA,North America,Textiles,Block Print Cotton Napkin Set of 6,2024,Q4,81.6,4188081,21.99,79886,155.0,48025,1.233,📈 Growing
France,Europe,Bath,Bamboo Toothbrush Holder Set,2024,Q2,55.2,852901,21.99,42020,295.0,24814,0.917,📈 Growing
South Africa,Africa,Decor,Madhubani Art Canvas Print Large,2024,Q2,55.1,485984,21.99,38850,309.0,23649,0.917,📈 Growing
Kuwait,Middle East,Decor,Jute Rope Mirror Frame Round,2024,Q1,57.2,631291,21.99,48257,244.0,30260,1.018,📈 Growing
Malaysia,Asia Pacific,Kitchen,Copper Water Bottle 1L,2024,Q3,64.7,1010391,21.99,55676,219.0,33730,1.01,📈 Growing
Netherlands,Europe,Kitchen,Teak Wood Salad Bowl Large,2024,Q3,63.7,745738,21.99,43825,267.0,27652,1.01,📈 Growing
UAE,Middle East,Decor,Warli Art Wall Plate Set of 3,2024,Q2,55.4,1465582,21.99,50298,235.0,31100,0.917,📈 Growing
Italy,Europe,Kitchen,Teak Wood Cheese Board,2024,Q1,57.7,763771,21.99,42135,285.0,25921,1.018,📈 Growing
Malaysia,Asia Pacific,Decor,Macrame Wall Hanging Small,2024,Q4,83.9,1310700,21.99,71947,170.0,43771,1.233,📈 Growing
Malaysia,Asia Pacific,Furniture,Cane Rattan Side Table,2024,Q4,83.2,1299712,21.98,72935,171.0,43404,1.233,📈 Growing
Germany,Europe,Decor,Warli Art Wall Plate Set of 3,2024,Q2,55.3,1037695,21.98,43298,278.0,26326,0.917,📈 Growing
France,Europe,Decor,Handmade Soy Candle Large,2024,Q1,57.6,889611,21.98,44652,286.0,25885,1.018,📈 Growing
Spain,Europe,Storage,Jute Cotton Laundry Basket,2024,Q3,64.2,787149,21.98,44660,265.0,27862,1.01,📈 Growing
Ireland,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q4,81.7,728640,21.98,63548,189.0,39302,1.233,📈 Growing
South Africa,Africa,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q1,57.7,509238,21.98,42474,298.0,24782,1.018,📈 Growing
South Africa,Africa,Kitchen,Bamboo Serving Tray Large,2024,Q3,64.9,579133,21.98,45793,262.0,28186,1.01,📈 Growing
New Zealand,Asia Pacific,Storage,Woven Seagrass Floor Basket,2024,Q1,57.4,427064,21.98,45182,271.0,27293,1.018,📈 Growing
Singapore,Asia Pacific,Kitchen,Teak Wood Cheese Board,2024,Q4,82.9,1109062,21.98,71029,172.0,43209,1.233,📈 Growing
Germany,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q4,81.2,1541042,21.98,65339,190.0,39117,1.233,📈 Growing
Germany,Europe,Textiles,Kantha Quilt Throw Blanket,2024,Q2,54.8,1026991,21.98,41799,281.0,26053,0.917,📈 Growing
New Zealand,Asia Pacific,Textiles,Kantha Quilt Throw Blanket,2024,Q1,57.9,430978,21.98,44651,267.0,27540,1.018,📈 Growing
Japan,Asia Pacific,Decor,Madhubani Art Canvas Print Large,2024,Q2,55.7,614429,21.98,35908,331.0,22079,0.917,📈 Growing
Italy,Europe,Storage,Woven Seagrass Floor Basket,2024,Q1,58.0,767050,21.98,40602,283.0,26039,1.018,📈 Growing
France,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q4,83.4,1302126,21.97,62503,196.0,37904,1.233,📈 Growing
Canada,North America,Decor,Macrame Wall Hanging Large,2024,Q2,55.3,944721,21.97,47968,250.0,29214,0.917,📈 Growing
USA,North America,Kitchen,Copper Water Bottle 750ml,2024,Q1,57.2,2902254,21.97,56881,221.0,33273,1.018,📈 Growing
UAE,Middle East,Decor,Jute Rope Mirror Frame Round,2024,Q3,64.6,1729414,21.97,60009,201.0,36705,1.01,📈 Growing
South Africa,Africa,Textiles,Block Print Cotton Napkin Set of 6,2024,Q3,64.0,570587,21.97,47431,266.0,27771,1.01,📈 Growing
Saudi Arabia,Middle East,Storage,Woven Seagrass Floor Basket,2024,Q4,82.1,1878601,21.97,67233,169.0,43940,1.233,📈 Growing
Sweden,Europe,Textiles,Hand Block Print Bedsheet Set,2024,Q2,55.4,549811,21.97,41005,294.0,24882,0.917,📈 Growing
Spain,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q4,83.0,1020011,21.97,59971,206.0,36121,1.233,📈 Growing
Singapore,Asia Pacific,Kitchen,Copper Water Bottle 750ml,2024,Q2,54.6,722500,21.97,45061,260.0,28134,0.917,📈 Growing
South Africa,Africa,Storage,Handwoven Jute Storage Basket Small,2024,Q2,55.2,487129,21.96,40353,309.0,23706,0.917,📈 Growing
Spain,Europe,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q3,63.8,783219,21.96,42940,266.0,27722,1.01,📈 Growing
Canada,North America,Decor,Warli Art Wall Plate Set of 3,2024,Q4,82.0,1418930,21.96,69731,169.0,43896,1.233,📈 Growing
Malaysia,Asia Pacific,Storage,Jute Cotton Laundry Basket,2024,Q3,63.9,997262,21.96,53356,222.0,33294,1.01,📈 Growing
France,Europe,Decor,Jute Rope Mirror Frame Round,2024,Q3,63.8,995848,21.96,49462,255.0,28974,1.01,📈 Growing
Spain,Europe,Decor,Hand Painted Wooden Bowl,2024,Q3,63.1,773451,21.96,45395,270.0,27383,1.01,📈 Growing
Canada,North America,Lighting,Bamboo Table Lamp,2024,Q3,63.9,1104844,21.96,59199,216.0,34166,1.01,📈 Growing
UK,Europe,Lighting,Bamboo Table Lamp,2024,Q1,57.7,1335704,21.95,52789,236.0,31251,1.018,📈 Growing
Canada,North America,Storage,Jute Cotton Laundry Basket,2024,Q4,82.3,1422818,21.95,74522,169.0,44018,1.233,📈 Growing
Kuwait,Middle East,Rugs,Jute Braided Area Rug 4x6ft,2024,Q4,82.3,917268,21.95,74274,169.0,43990,1.233,📈 Growing
UAE,Middle East,Kitchen,Teak Wood Cheese Board,2024,Q1,57.1,1510225,21.95,51203,230.0,32050,1.018,📈 Growing
Ireland,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q3,64.4,574471,21.95,50897,238.0,30980,1.01,📈 Growing
Australia,Asia Pacific,Decor,Jute Rope Mirror Frame Round,2024,Q3,64.6,756469,21.95,52573,228.0,32377,1.01,📈 Growing
Spain,Europe,Kitchen,Copper Water Bottle 1L,2024,Q4,81.9,1005104,21.94,57602,209.0,35589,1.233,📈 Growing
Netherlands,Europe,Decor,Warli Art Wall Plate Set of 3,2024,Q2,55.2,638894,21.94,40115,309.0,23683,0.917,📈 Growing
Italy,Europe,Kitchen,Bamboo Serving Tray Large,2024,Q4,82.6,1106118,21.94,63732,198.0,37565,1.233,📈 Growing
Kuwait,Middle East,Decor,Brass Tealight Holder Set of 4,2024,Q3,64.3,717453,21.94,61641,215.0,34393,1.01,📈 Growing
Portugal,Europe,Storage,Woven Seagrass Floor Basket,2024,Q1,57.5,444245,21.94,39687,313.0,23568,1.018,📈 Growing
UAE,Middle East,Textiles,Kantha Quilt Throw Blanket,2024,Q4,82.3,2205116,21.94,76037,159.0,46815,1.233,📈 Growing
Malaysia,Asia Pacific,Decor,Jute Rope Mirror Frame Round,2024,Q3,63.4,990455,21.94,53812,224.0,33066,1.01,📈 Growing
Portugal,Europe,Decor,Hand Painted Wooden Bowl,2024,Q4,83.3,650650,21.94,58865,215.0,34539,1.233,📈 Growing
Portugal,Europe,Garden,Terracotta Planter Set of 3,2024,Q1,57.7,445767,21.93,40723,312.0,23645,1.018,📈 Growing
Kuwait,Middle East,Decor,Handmade Paper Photo Frame Set 3,2024,Q1,57.5,634373,21.93,50112,243.0,30408,1.018,📈 Growing
UK,Europe,Kitchen,Ceramic Mug Set of 4,2024,Q3,64.5,1511415,21.93,55450,209.0,35366,1.01,📈 Growing
Kuwait,Middle East,Storage,Woven Seagrass Floor Basket,2024,Q1,57.5,634121,21.93,52843,243.0,30395,1.018,📈 Growing
Sweden,Europe,Kitchen,Copper Water Bottle 750ml,2024,Q3,64.7,649018,21.93,48679,252.0,29377,1.01,📈 Growing
Japan,Asia Pacific,Lighting,Bamboo Table Lamp,2024,Q2,55.2,609222,21.93,37221,334.0,21888,0.917,📈 Growing
Italy,Europe,Storage,Woven Seagrass Floor Basket,2024,Q4,81.2,1086938,21.93,61719,202.0,36910,1.233,📈 Growing
Japan,Asia Pacific,Decor,Madhubani Art Canvas Print Large,2024,Q1,57.5,633831,21.93,35454,324.0,22773,1.018,📈 Growing
Germany,Europe,Decor,Handmade Soy Candle Large,2024,Q1,57.5,1078075,21.93,44561,270.0,27351,1.018,📈 Growing
UAE,Middle East,Kitchen,Teak Wood Cheese Board,2024,Q2,55.3,1464338,21.93,50837,235.0,31078,0.917,📈 Growing
Australia,Asia Pacific,Decor,Handmade Soy Candle Set of 3,2024,Q3,63.2,740474,21.93,52995,233.0,31689,1.01,📈 Growing
Japan,Asia Pacific,Decor,Hand Painted Wooden Bowl,2024,Q1,57.6,635729,21.93,38342,323.0,22850,1.018,📈 Growing
Singapore,Asia Pacific,Storage,Handwoven Jute Storage Basket Large,2024,Q3,63.8,854021,21.93,58401,222.0,33268,1.01,📈 Growing
UAE,Middle East,Decor,Jute Rope Mirror Frame Round,2024,Q4,82.1,2197978,21.92,76225,159.0,46665,1.233,📈 Growing
UAE,Middle East,Lighting,Bamboo Table Lamp,2024,Q2,54.9,1453431,21.92,48046,237.0,30840,0.917,📈 Growing
Japan,Asia Pacific,Decor,Macrame Wall Hanging Small,2024,Q4,83.0,926088,21.92,56498,224.0,33299,1.233,📈 Growing
Germany,Europe,Kitchen,Bamboo Cutting Board Set of 3,2024,Q1,57.1,1069814,21.92,43992,272.0,27141,1.018,📈 Growing
UAE,Middle East,Bath,Bamboo Toothbrush Holder Set,2024,Q1,57.5,1520939,21.92,54209,229.0,32278,1.018,📈 Growing
Spain,Europe,Decor,Recycled Glass Vase Set of 2,2024,Q4,83.6,1025836,21.92,62785,204.0,36323,1.233,📈 Growing
UAE,Middle East,Kitchen,Ceramic Dinner Set 12pc,2024,Q2,54.2,1435677,21.92,48280,240.0,30465,0.917,📈 Growing
Spain,Europe,Storage,Woven Seagrass Floor Basket,2024,Q1,57.2,693984,21.92,41413,300.0,24562,1.018,📈 Growing
UAE,Middle East,Textiles,Kantha Quilt Throw Blanket,2024,Q2,54.8,1451716,21.92,50436,237.0,30807,0.917,📈 Growing
Portugal,Europe,Kitchen,Teak Wood Cheese Board,2024,Q1,57.4,443158,21.92,38156,314.0,23511,1.018,📈 Growing
South Africa,Africa,Decor,Handmade Paper Photo Frame Set 3,2024,Q2,55.7,491784,21.92,40035,305.0,23931,0.917,📈 Growing
Australia,Asia Pacific,Textiles,Kantha Quilt Throw Blanket,2024,Q3,63.8,747521,21.92,51965,231.0,31993,1.01,📈 Growing
Kuwait,Middle East,Kitchen,Bamboo Cutting Board Set of 3,2024,Q3,64.6,720772,21.92,58395,214.0,34554,1.01,📈 Growing
Japan,Asia Pacific,Decor,Macrame Plant Hanger Set of 3,2024,Q2,54.5,600619,21.92,36641,339.0,21582,0.917,📈 Growing
UAE,Middle East,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q1,57.9,1533800,21.91,55198,227.0,32549,1.018,📈 Growing
Australia,Asia Pacific,Decor,Madhubani Art Canvas Print Large,2024,Q4,82.4,965122,21.91,64589,180.0,41320,1.233,📈 Growing
Portugal,Europe,Rugs,Jute Braided Area Rug 2x3ft,2024,Q4,82.4,643380,21.91,54490,218.0,34144,1.233,📈 Growing
UK,Europe,Kitchen,Teak Wood Cheese Board,2024,Q1,57.9,1340142,21.91,55243,235.0,31359,1.018,📈 Growing
Kuwait,Middle East,Kitchen,Teak Wood Salad Bowl Large,2024,Q1,57.0,628568,21.91,48742,245.0,30129,1.018,📈 Growing
Canada,North America,Textiles,Kantha Quilt Throw Blanket,2024,Q4,83.1,1436130,21.91,71346,167.0,44431,1.233,📈 Growing
UK,Europe,Decor,Jute Rope Mirror Frame Round,2024,Q4,82.8,1940731,21.91,75545,163.0,45424,1.233,📈 Growing
Australia,Asia Pacific,Rugs,Jute Braided Area Rug 4x6ft,2024,Q1,57.9,670198,21.91,48202,257.0,28680,1.018,📈 Growing
Japan,Asia Pacific,Kitchen,Bamboo Cutting Board Set of 3,2024,Q4,82.0,914768,21.91,50650,226.0,32885,1.233,📈 Growing
UK,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q2,54.9,1270804,21.91,47884,246.0,29725,0.917,📈 Growing
UAE,Middle East,Kitchen,Bamboo Serving Tray Large,2024,Q4,83.3,2232880,21.91,80966,157.0,47405,1.233,📈 Growing
New Zealand,Asia Pacific,Kitchen,Teak Wood Cheese Board,2024,Q4,83.2,625901,21.91,67116,186.0,40017,1.233,📈 Growing
Japan,Asia Pacific,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q1,57.6,634989,21.91,37624,324.0,22817,1.018,📈 Growing
Japan,Asia Pacific,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q2,55.4,610789,21.91,36502,333.0,21947,0.917,📈 Growing
Italy,Europe,Decor,Warli Art Wall Plate Set of 3,2024,Q3,64.4,861620,21.9,46682,253.0,29255,1.01,📈 Growing
Saudi Arabia,Middle East,Kitchen,Bamboo Serving Tray Large,2024,Q1,58.0,1310895,21.9,49484,240.0,30652,1.018,📈 Growing
UAE,Middle East,Kitchen,Copper Water Bottle 750ml,2024,Q2,54.5,1443521,21.9,51203,238.0,30628,0.917,📈 Growing
Germany,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q4,83.2,1577834,21.9,63649,186.0,40051,1.233,📈 Growing
Ireland,Europe,Kitchen,Bamboo Cutting Board Set of 3,2024,Q3,63.6,567392,21.9,53249,241.0,30594,1.01,📈 Growing
Japan,Asia Pacific,Storage,Jute Cotton Laundry Basket,2024,Q3,63.9,712043,21.9,40495,288.0,25589,1.01,📈 Growing
Germany,Europe,Storage,Jute Cotton Laundry Basket,2024,Q3,63.7,1207869,21.9,48207,241.0,30648,1.01,📈 Growing
Australia,Asia Pacific,Kitchen,Ceramic Dinner Set 12pc,2024,Q2,54.5,630961,21.9,45370,270.0,27002,0.917,📈 Growing
Spain,Europe,Lighting,Rattan Pendant Lamp Shade,2024,Q1,57.8,700975,21.9,39409,298.0,24809,1.018,📈 Growing
Australia,Asia Pacific,Storage,Woven Seagrass Floor Basket,2024,Q2,54.9,635517,21.9,44132,269.0,27196,0.917,📈 Growing
UAE,Middle East,Decor,Macrame Wall Hanging Small,2024,Q2,55.1,1457508,21.89,49825,236.0,30926,0.917,📈 Growing
Italy,Europe,Kitchen,Ceramic Dinner Set 12pc,2024,Q3,64.4,861396,21.89,49036,252.0,29247,1.01,📈 Growing
New Zealand,Asia Pacific,Decor,Warli Art Wall Plate Set of 3,2024,Q1,57.4,427684,21.89,46020,270.0,27325,1.018,📈 Growing
Italy,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q3,63.8,853167,21.89,46756,255.0,28962,1.01,📈 Growing
Japan,Asia Pacific,Bath,Bamboo Toothbrush Holder Set,2024,Q2,55.2,609226,21.89,36212,334.0,21889,0.917,📈 Growing
Germany,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q3,64.7,1225660,21.89,50008,238.0,31103,1.01,📈 Growing
UK,Europe,Decor,Hand Painted Wooden Tray,2024,Q4,83.3,1952905,21.89,78233,163.0,45706,1.233,📈 Growing
Malaysia,Asia Pacific,Decor,Handmade Soy Candle Large,2024,Q4,82.4,1288516,21.88,71272,173.0,43023,1.233,📈 Growing
Italy,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q4,82.6,1105033,21.88,61589,199.0,37526,1.233,📈 Growing
France,Europe,Kitchen,Teak Wood Cheese Board,2024,Q2,54.9,847219,21.88,40823,296.0,24649,0.917,📈 Growing
Malaysia,Asia Pacific,Storage,Handwoven Jute Storage Basket Large,2024,Q1,57.6,889584,21.88,49970,248.0,29693,1.018,📈 Growing
UK,Europe,Decor,Handmade Soy Candle Set of 3,2024,Q3,64.4,1508408,21.88,59775,209.0,35294,1.01,📈 Growing
Netherlands,Europe,Lighting,Bamboo Table Lamp,2024,Q2,55.3,640177,21.88,38888,308.0,23731,0.917,📈 Growing
France,Europe,Kitchen,Copper Water Bottle 750ml,2024,Q1,58.3,899670,21.88,41721,282.0,26170,1.018,📈 Growing
Kuwait,Middle East,Kitchen,Copper Water Bottle 750ml,2024,Q2,54.8,604019,21.88,49250,252.0,28948,0.917,📈 Growing
Italy,Europe,Kitchen,Copper Water Bottle 750ml,2024,Q3,64.0,855807,21.88,49196,254.0,29059,1.01,📈 Growing
South Africa,Africa,Lighting,Rattan Pendant Lamp Shade,2024,Q4,81.7,729068,21.88,60403,209.0,35495,1.233,📈 Growing
USA,North America,Decor,Warli Art Wall Plate Set of 3,2024,Q1,56.9,2889324,21.88,55156,223.0,33118,1.018,📈 Growing
Canada,North America,Decor,Macrame Wall Hanging Small,2024,Q2,54.7,934449,21.88,46926,253.0,28891,0.917,📈 Growing
Portugal,Europe,Decor,Handmade Soy Candle Large,2024,Q1,57.3,442121,21.88,38405,314.0,23452,1.018,📈 Growing
South Africa,Africa,Decor,Madhubani Art Canvas Print Large,2024,Q3,64.3,573950,21.87,48039,264.0,27938,1.01,📈 Growing
Malaysia,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,2024,Q1,57.5,888165,21.87,49172,250.0,29645,1.018,📈 Growing
Ireland,Europe,Decor,Hand Painted Wooden Bowl,2024,Q1,58.3,514300,21.87,45806,266.0,27735,1.018,📈 Growing
USA,North America,Kitchen,Teak Wood Cheese Board,2024,Q4,83.5,4298643,21.87,79870,151.0,49299,1.233,📈 Growing
Italy,Europe,Rugs,Jute Braided Area Rug 4x6ft,2024,Q4,82.1,1098759,21.87,61660,199.0,37310,1.233,📈 Growing
Saudi Arabia,Middle East,Textiles,Block Print Cotton Napkin Set of 6,2024,Q3,63.5,1451993,21.87,56497,217.0,33949,1.01,📈 Growing
Canada,North America,Decor,Madhubani Art Canvas Print Large,2024,Q4,82.8,1433015,21.87,71686,168.0,44333,1.233,📈 Growing
